,Administered,textblob_agg_sentiment,nltk_agg_sentiment,Vader_agg_sentiment
5/3/2021,509700681,,,
5/4/2021,511684721,,,
5/5/2021,515317513,,,
5/6/2021,520178645,,,
5/7/2021,525833299,,,
5/8/2021,531012992,,,
5/9/2021,535799586,,,
5/10/2021,539573811,,,
5/11/2021,542649370,,,
5/12/2021,545776624,,,
5/13/2021,549673486,,,
5/14/2021,553393155,,,
5/15/2021,558222357,,,
5/16/2021,562449840,,,
5/17/2021,565435800,,,
5/18/2021,567685925,,,
5/19/2021,571224729,,,
5/20/2021,575479362,,,
5/21/2021,579917747,,,
5/22/2021,584647111,,,
5/23/2021,588239955,744.6819061,-3735,1328
5/24/2021,590589971,383585.5643,-1425431,841701
5/25/2021,592383117,643437.2915,-2497440,1410860
5/26/2021,595259411,538382.7854,-1867848,1137042
5/27/2021,598313357,466265.2964,-1480145,894700
5/28/2021,601101246,442316.6846,-1541733,961869
5/29/2021,604348968,250259.5527,-942381,539577
5/30/2021,606816105,,,
5/31/2021,608744277,,,
6/1/2021,609771995,,,
6/2/2021,610790920,,,
6/3/2021,612434670,,,
6/4/2021,615258306,,,
6/5/2021,617580696,,,
6/6/2021,620057995,,,
6/7/2021,622782869,,,
6/8/2021,624929490,,,
6/9/2021,626611258,,,
6/10/2021,628501824,,,
6/11/2021,630149528,,,
6/12/2021,633379718,,,
6/13/2021,635824147,,,
6/14/2021,638491078,,,
6/15/2021,640981695,214254.9078,-553664,408032
6/16/2021,643043939,161625.898,-581292,376272
6/17/2021,647184023,92262.7135,-206421,213882
6/18/2021,649363524,105873.5479,-271560,241776
6/19/2021,651522305,37254.56711,-100101,83691
6/20/2021,653233746,41896.42291,-120231,77409
6/21/2021,654472673,129827.8625,-283100,305900
6/22/2021,655768668,130142.3654,-330165,349830
6/23/2021,657076451,157659.1757,-432900,324120
6/24/2021,658728749,,,
6/25/2021,659768925,,,
6/26/2021,661633477,,,
6/27/2021,664049390,,,
6/28/2021,666272326,,,
6/29/2021,667790635,,,
6/30/2021,670567209,343790.596,-1126425,779700
7/1/2021,673855029,147349.4636,-488629,333106
7/2/2021,675184975,413240.7754,-1320959,893964
7/3/2021,677521708,238760.1301,-752400,427680
7/4/2021,678824343,143372.2647,-549655,339710
7/5/2021,679630015,237523.5368,-912285,472875
7/6/2021,680094016,,,
7/7/2021,680969411,,,
7/8/2021,682372114,1568.626845,-7125,1750
7/9/2021,683626952,142468.2015,-585859,452343
7/10/2021,684836241,119461.4238,-492063,180048
7/11/2021,686022381,47594.18332,-197640,128100
7/12/2021,686923718,130516.4481,-479676,242090
7/13/2021,687610091,155577.21,-808341,242630
7/14/2021,688711439,106901.3827,-425865,211464
7/15/2021,689857403,109714.7689,-386688,196992
7/16/2021,690979758,143472.8498,-580769,319480
7/17/2021,692262907,155583.7484,-605184,286044
7/18/2021,693277651,27620.55657,-1675752,-655524
7/19/2021,694294317,167802.0607,-911105,230906
